,번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
39,40,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"38,825,568","19,412,784,000",500,원(KRW),(02)2192-2000,서울특별시 중구 통일로 92 케이지타워 16층,1424
40,41,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000",500,원(KRW),(02)3430-5913,"서울특별시 중구 통일로 92 케이지타워 14,15층",1424
41,42,060720,KH바텍,32602,전자부품 제조업,"23,637,484","11,818,742,000",500,원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍 ,1424
42,43,122450,KMH,106002,텔레비전 방송업,"22,667,982","11,434,247,500",500,원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층,1424
43,44,052900,KMH하이텍,32202,플라스틱제품 제조업,"46,885,499","23,442,749,500",500,원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 ,1424
44,45,058400,KNN,106002,텔레비전 방송업,"132,429,720","66,214,860,000",500,원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워 ,1424
45,46,114450,KPX생명과학,32101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000",500,원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84 ,1424
46,47,036030,KTH,74601,상품 중개업,"35,715,022","35,715,022,000","1,000",원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 ,1424
47,48,060370,KT서브마린,64203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42  ,1424
48,49,065150,MP그룹,74603,음·식료품 및 담배 도매업,"80,808,407","8,080,840,700",100,원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스,1424
49,50,219550,MP한강,74604,생활용품 도매업,"57,370,063","5,737,006,300",100,원(KRW),02-3773-8373,서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호,1424
50,51,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,906,106","13,953,053,000",500,원(KRW),02-3490-9300,서울특별시 강남구 학동로9길 5 - ,1424
51,52,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업","16,072,037","8,036,018,500",500,원(KRW),02-2014-7114,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 ,1424
52,53,104200,NHN벅스,105802,소프트웨어 개발 및 공급업,"14,827,550","7,413,775,000",500,원(KRW),031-8038-4186,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄,1424
53,54,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"22,971,393","11,485,696,500",500,원(KRW),(02)2108-1000,서울특별시 구로구 디지털로26길 72 - ,1424
54,55,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000",500,원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 ,1424
55,56,078590,OQP,33003,자동차 신품 부품 제조업,"75,280,333","15,056,066,600",200,원(KRW),02-6925-2168,경남 밀양시 산내면 가인리 364번지 ,1424
56,57,178920,PI첨단소재,32202,플라스틱제품 제조업,"29,366,322","14,683,161,000",500,원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 ,1424
57,58,024940,PN풍년,32509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000",500,원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 ,1424
58,59,218410,RFHIC,32604,통신 및 방송 장비 제조업,"23,847,620","11,923,810,000",500,원(KRW),031-8069-3016,경기도 안양시 동안구 부림로 170 41-14(관양동),1424
59,60,091340,S&K폴리텍,32602,전자부품 제조업,"11,703,721","5,851,860,500",500,원(KRW),031-432-8061,경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지,1424
60,61,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업,"162,066,575","83,533,287,500",500,원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 ,1424
61,62,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업,"24,656,540",0,0,일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 ",1424
62,63,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500",500,원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 ",1424
63,64,036120,SCI평가정보,106309,기타 정보 서비스업,"35,500,000","17,750,000,000",500,원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 ,1424
64,65,099220,SDN,74605,기계장비 및 관련 물품 도매업,"48,178,714","24,089,357,000",500,원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  ,1424
65,66,036540,SFA반도체,32601,반도체 제조업,"164,460,303","82,487,451,500",500,원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) ,1424
66,67,255220,SG,32309,기타 비금속 광물제품 제조업,"36,720,027","3,672,002,700",100,원(KRW),032-574-6525,"인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp",1424
67,68,040610,SG&G,33003,자동차 신품 부품 제조업,"34,087,196","17,043,598,000",500,원(KRW),02-2105-6315,경기도 안산시 단원구 원시로 239-10 (원시동),1424
68,69,049470,SGA,105802,소프트웨어 개발 및 공급업,"48,362,249","48,362,249,000","1,000",원(KRW),070-7308-9319,"서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비지니스파크) ",1424
69,70,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"36,676,033","3,667,603,300",100,원(KRW),02-574-6856,"서울특별시 송파구 법원로11길 25 에이동 901호(문정동, 에이치비지니스파크) ",1424
70,71,307070,SK4호스팩,116601,금융 지원 서비스업,"5,160,000","516,000,000",100,원(KRW),02-3773-9151,서울특별시 영등포구 국제금융로8길 31 4층 &nbsp,1424
71,72,337450,SK5호스팩,116601,금융 지원 서비스업,"4,310,000","431,000,000",100,원(KRW),02-3773-8227,"서울특별시 영등포구 국제금융로8길 31, 4층 ",1424
72,73,340350,SK6호스팩,116601,금융 지원 서비스업,"5,710,000","571,000,000",100,원(KRW),02-3773-9131,"서울특별시 영등포구 국제금융로8길 31, 4층 ",1424
73,74,057500,SKC 솔믹스,32602,전자부품 제조업,"61,494,040","30,747,020,000",500,원(KRW),(031)660-8400,경기도 평택시  경기대로 1043 ,1424
74,75,036490,SK머티리얼즈,32001,기초 화학물질 제조업,"10,547,673","5,273,836,500",500,원(KRW),054-630-8114,경상북도 영주시  가흥공단로 59-33 ,1424
75,76,052260,SK바이오랜드,32004,기타 화학제품 제조업,"15,000,000","7,500,000,000",500,원(KRW),041-550-7700,충청북도 청주시 흥덕구 오송읍 오송생명2로 22 SK 바이오랜드 오송공장 ,1424
76,77,048550,SM C&C,137103,광고업,"94,610,120","47,305,060,000",500,원(KRW),02-3788-0000,서울특별시 강남구 삼성로 648한섬빌딩 ,1424
77,78,063440,SM Life Design,31802,기록매체 복제업,"45,029,154","22,874,577,000",500,원(KRW),031-955-7171,경기도 파주시 직지길 376 ,1424
78,79,950180,SNK,105802,소프트웨어 개발 및 공급업,"21,061,800",0,0,일본엔(JPY),+81-06-6339-6362,"1-16-17, Esakacho, Suitasi, Osaka, Japan ",1424
80,81,089230,THE E&M,106309,기타 정보 서비스업,"124,348,176","12,434,817,600",100,원(KRW),02-2088-8222,서울특별시 강남구 논현로 842 압구정빌딩 8층(신사동) ,1424
81,82,161570,THE MIDONG,32605,영상 및 음향기기 제조업,"13,791,786","6,895,893,000",500,원(KRW),070-7425-0614,서울특별시 서초구 남부순환로 2652 대명빌딩 7층 ,1424
82,83,032540,TJ미디어,32605,영상 및 음향기기 제조업,"13,931,609","6,965,804,500",500,원(KRW),02  -3663-4700,서울특별시 강서구 화곡로64길 23 ,1424
83,84,048770,TPC,32901,일반 목적용 기계 제조업,"13,480,276","6,740,138,000",500,원(KRW),032 -572 -1700,인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 ,1424
84,85,246690,TS인베스트먼트,116402,신탁업 및 집합투자업,"23,449,039","11,724,519,500",500,원(KRW),02-6250-5700,"서울특별시 강남구 선릉로 531, 3층 302호 ",1424
85,86,038340,UCI,168505,일반 교습 학원,"33,115,421","16,607,710,500",500,원(KRW),(02)3438-6900,"서울특별시 구로구 디지털로33길 48 604호(구로동, 대륭포스트타워7차)",1424
86,87,073570,WI,32902,특수 목적용 기계 제조업,"75,664,793","7,566,479,300",100,원(KRW),041-582-5700,충청남도 천안시 서북구 직산읍 4산단7로 17-15 -,1424
87,88,052300,W홀딩컴퍼니,85209,기타 운송관련 서비스업,"232,418,093","23,241,809,300",100,원(KRW),02-6237-9784,"서울특별시 강남구 도산대로 414 14층(청담동, 한성청담빌딩) ",1424
88,89,057030,YBM넷,168507,교육지원 서비스업,"16,312,697","8,156,348,500",500,원(KRW),(02) 2008-5200,"경기도 성남시 분당구 대왕판교로 670 유스페이스2 A동 8,9층 ",1424
89,90,040300,YTN,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","42,000,000","42,000,000,000","1,000",원(KRW),(02) 398-8000,서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 ,1424
90,91,051390,YW,74608,상품 종합 도매업,"11,355,368","5,677,684,000",500,원(KRW),(031)703-7118,"경기도 성남시 분당구  야탑남로 280 801(야탑동,분당테크노파크씨동)",1424
91,92,052220,iMBC,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","23,000,000","11,500,000,000",500,원(KRW),(02)2105-1100,"서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터) ",1424
92,93,079940,가비아,105802,소프트웨어 개발 및 공급업,"13,535,684","6,767,842,000",500,원(KRW),1544-4370,"경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호",1424
93,94,078890,가온미디어,32604,통신 및 방송 장비 제조업,"15,074,293","7,537,146,500",500,원(KRW),031-724-8500,경기도 성남시 분당구  성남대로 884-3 ,1424
94,95,192410,감마누,32604,통신 및 방송 장비 제조업,"24,435,800","12,217,900,000",500,원(KRW),031-831-8800,경기도 화성시 동탄면 금곡로 185-44 ,1424
95,96,217730,강스템바이오텍,32101,기초 의약물질 및 생물학적 제제 제조업,"20,979,437","10,489,718,500",500,원(KRW),02-888-1590,서울특별시 강남구 테헤란로 512 신안빌딩 17층,1424
96,97,114190,강원,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업","18,154,911","9,077,455,500",500,원(KRW),031-358-7683,"전라북도 군산시 자유무역1길 60 웰크론강원 510-9, 510-10, 510-12",1424
97,98,094480,갤럭시아컴즈,105802,소프트웨어 개발 및 공급업,"39,229,838","19,614,919,000",500,원(KRW),02-3484-8400,서울시 강남구 수서동 715번지 수서오피스 빌딩 12층 ,1424
98,99,063080,게임빌,105802,소프트웨어 개발 및 공급업,"6,595,192","3,297,596,000",500,원(KRW),02-876-5252,서울특별시 금천구 가산디지털1로 131 에이동 (가산동) ,1424
99,100,044480,경남바이오파마,32201,고무제품 제조업,"14,251,509","7,125,754,500",500,원(KRW),02-2203-3835,충청북도 증평군  증평읍 광장로 473-3 (주)유니더스,1424
100,101,039240,경남스틸,32401,1차 철강 제조업,"25,000,000","2,500,000,000",100,원(KRW),055 -252 -9208,경남 창원시 웅남동 61-46번지 ,1424
101,102,053950,경남제약,32102,의약품 제조업,"17,442,567","8,721,283,500",500,원(KRW),02-3490-5105,경상남도 의령군 동동리 1539-5 ,1424
102,103,223310,경남제약헬스케어,105802,소프트웨어 개발 및 공급업,"11,396,461","1,139,646,100",100,원(KRW),070-7860-9660,"서울특별시 강남구 학동로 306 5층(논현동, 곤비빌딩)",1424
103,104,011040,경동제약,32102,의약품 제조업,"26,550,000","13,575,000,000",500,원(KRW),02  -576 -6121,경기도 화성시  양감면 제약단지로 224-3 ,1424
104,105,024910,경창산업,33003,자동차 신품 부품 제조업,"35,819,005","17,909,502,500",500,원(KRW),053 -560 -0141,대구광역시 달서구 성서로35길 6 월암동,1424
105,106,198440,고려시멘트,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업","31,979,960","3,197,996,000",100,원(KRW),061-390-6575,전라남도 장성군 장성읍 영천로 35 고려시멘트,1424
106,107,049720,고려신용정보,147509,기타 사업지원 서비스업,"14,300,000","7,150,000,000",500,원(KRW),02-3450-9000,"서울특별시 서초구 서초대로 353 (서초동, 유니온타워)",1424
107,108,014570,고려제약,32102,의약품 제조업,"11,000,000","5,500,000,000",500,원(KRW),02-529-6100,경기도 이천시  신둔면 원적로 69-10 ,1424
108,109,098460,고영,32902,특수 목적용 기계 제조업,"13,730,951","6,865,475,500",500,원(KRW),02-6343-6000,"서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리 14층, 15층)",1424
109,110,038530,골드퍼시픽,74604,생활용품 도매업,"44,638,392","22,319,196,000",500,원(KRW),02-2029-0700,"서울특별시 구로구 디지털로30길 28 7층, 702호(구로동, 마리오타워)",1424
111,112,215000,골프존,105802,소프트웨어 개발 및 공급업,"6,275,415","3,137,707,500",500,원(KRW),1577-4333,서울특별시 강남구 영동대로 735 - ,1424
112,113,121440,골프존뉴딘홀딩스,74601,상품 중개업,"42,836,818","21,418,409,000",500,원(KRW),042-862-8109,서울특별시 강남구 영동대로 735- ,1424
113,114,014200,광림,33001,자동차용 엔진 및 자동차 제조업,"52,922,234","26,461,117,000",500,원(KRW),043 -260 -9111,충청북도 청원군  현도면 청남로 484 (주)광림 ,1424
114,115,026910,광진실업,32401,1차 철강 제조업,"6,405,405","3,202,702,500",500,원(KRW),051 -204 -9101,부산 사하구 신평동 370-103 ,1424
115,116,090150,광진윈텍,33003,자동차 신품 부품 제조업,"9,658,393","4,829,196,500",500,원(KRW),051-711-2222,부산광역시 기장군  장안읍 장안산단9로 110 ,1424
116,117,307280,교보8호스팩,116601,금융 지원 서비스업,"3,720,000","372,000,000",100,원(KRW),02-3771-9284,서울특별시 영등포구 의사당대로 97 &nbsp,1424
117,118,331520,교보9호스팩,116601,금융 지원 서비스업,"3,880,000","388,000,000",100,원(KRW),02-3771-9284,서울특별시 영등포구 의사당대로 97 ,1424
118,119,053270,구영테크,33003,자동차 신품 부품 제조업,"26,394,174","13,197,087,000",500,원(KRW),053-592-6111,대구광역시 달성군 구지면 국가산단대로39길 119 (창리),1424
119,120,066620,국보디자인,64204,실내건축 및 건축마무리 공사업,"7,500,000","3,750,000,000",500,원(KRW),(02)738-2700,서울 마포구 서교동 477-22 ,1424
120,121,043650,국순당,31101,알코올음료 제조업,"17,858,304","8,929,152,000",500,원(KRW),02  -5138-500,강원도 횡성군 둔내면 강변로 975 ,1424
121,122,006050,국영지앤엠,32301,유리 및 유리제품 제조업,"34,895,243","17,447,621,500",500,원(KRW),02-2015-0370,"서울시 서초구 서초중앙로 36 (서초동, 준영빌딩 7층) ",1424
122,123,060480,국일신동,32402,1차 비철금속 제조업,"11,090,000","5,545,000,000",500,원(KRW),031-499-9192,경기도 안산시 단원구 번영2로 58 &nbsp,1424
123,124,078130,국일제지,31709,기타 종이 및 판지 제품 제조업,"126,348,384","12,634,838,400",100,원(KRW),(031)339-9100,경기도 용인시 처인구  이동면 백옥대로 563 ,1424
124,125,204020,그리티,31401,봉제의복 제조업,"20,147,430","10,393,049,000",500,원(KRW),02-6907-8888,"서울특별시 강남구 언주로151길 7, 2층 (신사동, 주성빌) ",1424
125,126,186230,그린플러스,32402,1차 비철금속 제조업,"4,833,871","2,416,935,500",500,원(KRW),0413326421,충청남도 예산군 응봉면 응봉로 50-42 &nbsp,1424
127,128,204620,글로벌텍스프리,116601,금융 지원 서비스업,"38,795,339","19,397,669,500",500,원(KRW),02-518-0837,"서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)",1424
128,129,019660,글로본,74608,상품 종합 도매업,"29,083,136","14,541,568,000",500,원(KRW),031-698-7300,서울특별시 강남구 도산대로 331 -,1424
129,130,032860,글로스퍼랩스,53803,"해체, 선별 및 원료 재생업","73,558,840","36,779,420,000",500,원(KRW),02-3452-8449,경기도 가평군 상면 수목원로386번길 75 -,1424
130,131,053260,금강철강,32401,1차 철강 제조업,"18,720,000","9,860,000,000",500,원(KRW),(02)3471-0001,"서울특별시 서초구  서운로 19 701호(서초동, 서초월드오피스텔)",1424
131,132,036190,금화피에스시,64203,전기 및 통신 공사업,"6,000,000","3,000,000,000",500,원(KRW),02  -2186-6220,서울특별시 강남구  테헤란로25길 15-4 ,1424
132,133,049080,기가레인,32902,특수 목적용 기계 제조업,"52,276,120","26,138,060,000",500,원(KRW),031-233-7325,경기도 화성시 동탄산단10길 61 - ,1424
133,134,035460,기산텔레콤,32604,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000",500,원(KRW),02  -3431-8700,서울특별시 송파구  오금로 111 세기빌딩 11층,1424
134,135,308100,까스텔바작,74704,"섬유, 의복, 신발 및 가죽제품 소매업","6,596,700","3,298,350,000",500,원(KRW),02-3498-0330,서울특별시 강남구 논현로 322 ,1424
135,136,187790,나노,32001,기초 화학물질 제조업,"25,797,855","12,898,927,500",500,원(KRW),054-533-5887,경상북도 상주시 청리면 마공공단로 60 -,1424
136,137,286750,나노브릭,32001,기초 화학물질 제조업,"4,560,103","4,560,103,000","1,000",원(KRW),031-663-9420,경기도 평택시 산단로52번길 68 ,1424
137,138,151910,나노스,32602,전자부품 제조업,"148,625,347","14,862,534,700",100,원(KRW),031-240-3900,경기도 화성시 마도면 마도공단로2길 4 -,1424
138,139,121600,나노신소재,32004,기타 화학제품 제조업,"10,848,333","5,424,166,500",500,원(KRW),044-275-6966,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,1424
139,140,039860,나노엔텍,32701,의료용 기기 제조업,"26,762,927","13,381,463,500",500,원(KRW),02-6220-7728,서울특별시 구로구  디지털로26길 5 에이스하이엔드타워1차 1210호,1424
140,141,091970,나노캠텍,32202,플라스틱제품 제조업,"28,080,425","14,040,212,500",500,원(KRW),031-671-9466,경기도 안성시 양성면 양성로 112 -,1424
141,142,051490,나라엠앤디,32902,특수 목적용 기계 제조업,"14,200,000","7,230,000,000",500,원(KRW),055-239-3600,경상남도 창원시 성산구  공단로 675 나라엠앤디(주) ,1424
142,143,190510,나무가,32602,전자부품 제조업,"6,871,090","3,633,284,500",500,원(KRW),070-7012-8400,"경기도 성남시 중원구 사기막골로 124, 709호(상대원동, SKn테크노파크) &nbsp",1424
143,144,242040,나무기술,105802,소프트웨어 개발 및 공급업,"32,145,466","3,214,546,600",100,원(KRW),031-8017-3900,"경기도 성남시 분당구 판교로 255 5층(삼평동, 이노밸리F동)",1424
144,145,089600,나스미디어,137103,광고업,"8,754,691","4,557,703,000",500,원(KRW),02-2188-7300,"서울특별시 강남구 도곡로1길 14 삼일프라자오피스텔4,5F ",1424
146,147,138610,나이벡,32103,의료용품 및 기타 의약 관련제품 제조업,"9,902,979","4,951,489,500",500,원(KRW),043-532-7458,충청북도 진천군  이월면 밤디길 116 이월전기전자농공1단지,1424
147,148,130580,나이스디앤비,147509,기타 사업지원 서비스업,"15,400,000","7,700,000,000",500,원(KRW),02-2122-2370,서울특별시 마포구 마포대로 217 (아현동),1424
148,149,036800,나이스정보통신,106102,전기 통신업,"10,000,000","5,000,000,000",500,원(KRW),02  -2187-2700,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 ,1424
149,150,267320,나인테크,32902,특수 목적용 기계 제조업,"37,126,554","3,712,655,400",100,원(KRW),031-476-0305,경기도 화성시 양감면 정문회화로 81 ㈜나인테크,1424
150,151,111710,남화산업,189101,스포츠 서비스업,"20,588,000","4,117,600,000",200,원(KRW),,전라남도 무안군 청계면 서호로 162 ,1424
151,152,091590,남화토건,64101,건물 건설업,"11,740,000","5,870,000,000",500,원(KRW),062-520-1072,전라남도 화순군 화순읍 벽라1길 40 ,1424
152,153,168330,내츄럴엔도텍,137001,자연과학 및 공학 연구개발업,"20,665,822","10,332,911,000",500,원(KRW),070-4601-3139,"경기도 성남시 분당구 판교로 255 번길 58, 에이동 301호 ",1424
153,154,056000,네스엠,105802,소프트웨어 개발 및 공급업,"14,136,600","7,068,300,000",500,원(KRW),02-557-9482,서울특별시 강남구 언주로 540 코원타워 5층,1424
154,155,253590,네오셈,32902,특수 목적용 기계 제조업,"37,536,388","3,753,638,800",100,원(KRW),031-8091-0853,경기도 안양시 동안구 시민대로327번길 12-26 주식회사 네오셈,1424
155,156,212560,네오오토,33003,자동차 신품 부품 제조업,"7,874,963","3,937,481,500",500,원(KRW),02-732-2871,"서울특별시 종로구 새문안로5길 19 6층(당주동, 로얄빌딩)",1424
